company_name,domain,industry,country,tier,max_contacts_per_run,targeting_profiles
Sonatrach,sonatrach.dz,oil and gas,Algeria,,10,
Sonangol Group,sonangol.co.ao,oil and gas,Angola,,10,
YPF,ypf.com,oil and gas,Argentina,,10,
APA Group,apa.com.au,oil and gas,Australia,,10,
Origin Energy,originenergy.com.au,oil and gas,Australia,,10,
Santos,santos.com,oil and gas,Australia,,10,
Woodside Energy,woodside.com,oil and gas,Australia,,10,
OMV Group,omv.com,oil and gas,Austria,,10,
SOCAR,socar.az,oil and gas,Azerbaijan,,10,
Bangladesh Petroleum Corporation,bpc.gov.bd,oil and gas,Bangladesh,,10,
Petrobangla,petrobangla.org.bd,oil and gas,Bangladesh,,10,
Belneftekhim,belneftekhim.by,oil and gas,Belarus,,10,
YPFB,ypfb.gob.bo,oil and gas,Bolivia,,10,
Petrobras,petrobras.com.br,oil and gas,Brazil,,10,
Ultrapar,ultra.com.br,oil and gas,Brazil,,10,
Brunei Energy Services and Trading,best.com.bn,oil and gas,Brunei,,10,
Bulgarian Energy Holding,bgenh.com,oil and gas,Bulgaria,,10,
AltaGas,altagas.ca,oil and gas,Canada,,10,
ARC Resources,arcresources.com,oil and gas,Canada,,10,
Brookfield Infrastructure Partners,bip.brookfield.com,oil and gas,Canada,,10,
Canadian Natural Resources,cnrl.com,oil and gas,Canada,,10,
Crescent Point Energy,crescentpointenergy.com,oil and gas,Canada,,10,
Cenovus Energy,cenovus.com,oil and gas,Canada,,10,
Enbridge,enbridge.com,oil and gas,Canada,,10,
Enerplus,enerplus.com,oil and gas,Canada,,10,
Frontera Energy,fronteraenergy.ca,oil and gas,Canada,,10,
Gibson Energy,gibsonenergy.com,oil and gas,Canada,,10,
Inter Pipeline,interpipeline.com,oil and gas,Canada,,10,
Keyera,keyera.com,oil and gas,Canada,,10,
MEG Energy,megenergy.com,oil and gas,Canada,,10,
Paramount Resources,paramountres.com,oil and gas,Canada,,10,
Pembina Pipeline,pembina.com,oil and gas,Canada,,10,
Suncor Energy,suncor.com,oil and gas,Canada,,10,
Tourmaline Oil,tourmalineoil.com,oil and gas,Canada,,10,
TC Energy,tcenergy.com,oil and gas,Canada,,10,
Vermilion Energy,vermilionenergy.com,oil and gas,Canada,,10,
Whitecap Resources,wcap.ca,oil and gas,Canada,,10,
Empresas Copec,empresascopec.cl,oil and gas,Chile,,10,
China National Offshore Oil,cnooc.com.cn,oil and gas,China,,10,
